ban_rate,fame,kda,name,pentas_match,rank,role,victory
13.68%,6.39%,7.7 / 5.8 / 8.3,Shaco,0.0012,63,Jungler,50.6%
9.5%,6.32%,6.1 / 4.9 / 5.6,Vladimir,0.0040,64,Mid,50.37%
6.21%,6.3%,5.8 / 6.0 / 4.2,Jax,0.0020,65,Top,49.85%
2.26%,6.22%,6.2 / 5.1 / 4.3,Garen,0.0003,66,Top,50.65%
2.93%,6.21%,4.1 / 6.6 / 12.4,Senna,0.0001,67,Support,48.6%
2.27%,6.14%,5.1 / 6.4 / 10.6,Swain,0.0004,68,"Support, Mid",51.39%
2.26%,5.91%,5.6 / 5.2 / 7.6,Ahri,0.0010,69,Mid,48.26%
2.8%,5.88%,5.0 / 5.3 / 9.9,Xerath,0.0003,70,"Support, Mid",50.11%
2.52%,5.67%,5.8 / 5.8 / 5.6,Camille,0.0006,71,Top,50.05%
2.97%,5.62%,5.4 / 5.8 / 5.1,Renekton,0.0005,72,Top,48.6%
2.48%,5.53%,8.4 / 5.7 / 6.7,Kha'Zix,0.0018,73,Jungler,50.18%
0.82%,5.49%,4.2 / 6.6 / 6.5,Sion,0.0002,74,Top,50.82%
1.08%,5.47%,6.5 / 5.9 / 8.5,Vi,0.0008,75,Jungler,50.63%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
1.0%,5.45%,7.1 / 6.6 / 7.6,Pantheon,0.0010,76,"Support, Jungler, Top, Mid",50.24%
1.53%,5.45%,4.7 / 5.5 / 6.7,Azir,0.0008,77,Mid,44.83%
6.62%,5.27%,6.1 / 5.5 / 9.7,Fiddlesticks,0.0002,78,Jungler,52.78%
3.59%,5.22%,1.8 / 5.9 / 14.4,Renata Glasc,0.0000,79,Support,51.01%
5.13%,5.15%,7.9 / 6.4 / 6.8,Kindred,0.0032,80,Jungler,49.51%
0.87%,5.1%,3.7 / 4.7 / 10.4,Shen,0.0002,81,Top,51.52%
0.41%,5.0%,5.7 / 5.9 / 13.0,Jarvan IV,0.0007,82,Jungler,49.8%
6.97%,4.88%,6.9 / 4.8 / 6.6,LeBlanc,0.0005,83,Mid,47.31%
1.31%,4.88%,5.2 / 5.4 / 7.7,Volibear,0.0003,84,"Jungler, Top",51.19%
1.87%,4.61%,6.7 / 5.7 / 8.2,Lillia,0.0017,85,Jungler,49.84%
1.36%,4.57%,7.0 / 6.4 / 7.2,Warwick,0.0004,86,"Jungler, Top",51.8%
1.58%,4.39%,8.2 / 6.2 / 6.4,Talon,0.0012,87,"Mid, Jungler",50.16%
2.38%,4.37%,2.3 / 4.8 / 13.5,Zilean,0.0000,88,Support,52.38%
1.56%,4.31%,6.6 / 5.9 / 6.6,Veigar,0.0006,89,Mid,49.44%
3.0%,4.3%,7.6 / 5.2 / 7.6,Nidalee,0.0018,90,Jungler,48.45%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
3.58%,4.21%,8.2 / 5.9 / 6.0,Fizz,0.0016,91,Mid,50.57%
1.68%,4.19%,8.2 / 6.4 / 5.9,Kalista,0.0059,92,ADC,46.95%
1.2%,4.18%,6.1 / 5.7 / 5.1,Riven,0.0018,93,Top,50.53%
2.52%,4.13%,5.6 / 5.4 / 8.3,Trundle,0.0003,94,Jungler,50.51%
1.69%,4.08%,3.5 / 6.7 / 10.9,Zyra,0.0000,95,Support,52.09%
3.22%,4.02%,8.3 / 6.2 / 6.1,Rengar,0.0018,96,"Jungler, Top",50.23%
0.45%,3.96%,5.1 / 5.2 / 7.7,Gragas,0.0008,97,"Top, Jungler",49.55%
2.24%,3.95%,7.8 / 7.1 / 9.4,Karthus,0.0008,98,Jungler,49.34%
2.24%,3.87%,5.0 / 5.5 / 8.9,Poppy,0.0001,99,"Jungler, Top",49.14%
2.06%,3.85%,4.3 / 5.1 / 8.1,Malphite,0.0002,100,Top,49.12%
1.28%,3.8%,4.5 / 6.3 / 7.7,Heimerdinger,0.0004,101,"Support, Mid",51.92%
5.36%,3.79%,7.4 / 5.4 / 7.8,Elise,0.0004,102,Jungler,50.69%
6.92%,3.77%,7.7 / 5.3 / 5.5,Kassadin,0.0057,103,Mid,50.1%
1.75%,3.67%,4.9 / 7.8 / 9.4,Brand,0.0004,104,Support,49.8%
4.38%,3.66%,7.7 / 6.3 / 5.7,Akshan,0.0016,105,"Mid, Top",50.62%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
2.45%,3.65%,7.0 / 6.2 / 5.2,Olaf,0.0044,106,"Top, Jungler",52.13%
0.18%,3.65%,1.6 / 5.7 / 14.5,Rakan,0.0000,107,Support,49.69%
0.76%,3.64%,4.5 / 5.6 / 6.2,Gnar,0.0005,108,Top,47.65%
1.54%,3.61%,7.4 / 5.8 / 8.1,Nocturne,0.0011,109,Jungler,51.43%
2.92%,3.46%,5.2 / 6.3 / 5.7,Teemo,0.0004,110,Top,49.18%
0.65%,3.35%,1.6 / 6.3 / 13.5,Alistar,0.0000,111,Support,48.45%
1.08%,3.31%,6.3 / 6.2 / 8.9,Taliyah,0.0009,112,"Mid, Jungler",50.34%
0.15%,3.3%,2.1 / 5.5 / 14.6,Sona,0.0000,113,Support,52.54%
0.4%,3.28%,2.5 / 5.6 / 13.9,Bard,0.0000,114,Support,49.96%
0.84%,3.25%,4.7 / 5.6 / 12.1,Nunu et Willump,0.0002,115,Jungler,50.59%
0.9%,3.25%,4.9 / 5.8 / 8.7,Lissandra,0.0003,116,Mid,48.19%
1.35%,3.17%,6.3 / 5.3 / 7.4,Zoé,0.0007,117,Mid,50.37%
6.28%,3.13%,4.5 / 5.8 / 11.0,Rammus,0.0002,118,Jungler,47.9%
7.22%,3.12%,7.0 / 6.3 / 7.1,Nilah,0.0065,119,ADC,51.71%
0.34%,3.11%,5.1 / 5.9 / 9.1,Vel'Koz,0.0001,120,"Support, Mid",50.51%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
2.69%,3.09%,4.9 / 6.5 / 4.0,Illaoi,0.0004,121,Top,49.86%
2.68%,3.05%,5.5 / 5.1 / 7.5,Anivia,0.0005,122,Mid,50.59%
0.99%,3.02%,5.1 / 5.6 / 5.4,Kayle,0.0045,123,Top,49.21%
4.33%,3.02%,9.3 / 5.3 / 7.1,Evelynn,0.0006,124,Jungler,49.69%
0.19%,3.01%,7.2 / 5.8 / 6.8,Xayah,0.0025,125,ADC,48.14%
2.0%,2.93%,3.8 / 5.1 / 4.0,Yorick,0.0005,126,Top,49.67%
0.32%,2.91%,5.5 / 6.4 / 5.8,Jayce,0.0012,127,Top,46.73%
2.53%,2.9%,4.4 / 5.5 / 7.7,Malzahar,0.0005,128,Mid,49.73%
0.77%,2.88%,4.1 / 5.8 / 8.8,Singed,0.0011,129,Top,51.93%
0.48%,2.81%,5.9 / 5.5 / 7.2,Rumble,0.0006,130,"Top, Mid",49.87%
1.14%,2.81%,8.1 / 6.4 / 6.3,Qiyana,0.0008,131,"Mid, Jungler",50.14%
0.64%,2.78%,6.3 / 5.0 / 7.3,Shyvana,0.0014,132,Jungler,51.31%
0.62%,2.66%,6.2 / 5.7 / 5.1,Urgot,0.0004,133,Top,50.52%
1.66%,2.64%,6.5 / 6.0 / 6.1,Cassiopeia,0.0017,134,Mid,51.42%
0.28%,2.6%,4.0 / 5.5 / 10.2,Galio,0.0000,135,Mid,49.47%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
2.45%,2.58%,5.8 / 5.5 / 3.9,Tryndamere,0.0013,136,Top,48.66%
0.15%,2.57%,4.8 / 5.3 / 9.3,Orianna,0.0005,137,Mid,49.09%
3.53%,2.49%,8.3 / 5.9 / 7.4,Rek'Sai,0.0009,138,Jungler,51.94%
0.12%,2.39%,4.8 / 5.9 / 8.9,Twisted Fate,0.0001,139,Mid,49.08%
0.97%,2.39%,6.6 / 5.6 / 6.9,Wukong,0.0006,140,"Jungler, Top",49.23%
0.68%,2.31%,4.4 / 4.9 / 6.8,Dr. Mundo,0.0007,141,Top,51.65%
0.25%,2.2%,1.4 / 5.8 / 13.6,Braum,0.0000,142,Support,48.06%
0.12%,2.13%,5.2 / 5.6 / 6.4,Ryze,0.0005,143,"Mid, Top",45.75%
0.4%,2.11%,1.8 / 6.6 / 14.4,Rell,0.0000,144,Support,50.76%
0.35%,2.1%,7.7 / 6.6 / 6.9,Kog'Maw,0.0043,145,ADC,51.4%
0.66%,2.1%,3.8 / 5.3 / 8.9,Tahm Kench,0.0000,146,"Top, Support",49.15%
0.75%,2.09%,5.8 / 5.5 / 7.0,Kled,0.0003,147,Top,51.45%
0.37%,2.05%,1.7 / 5.8 / 14.4,Taric,0.0000,148,Support,51.41%
0.39%,2.0%,5.2 / 5.6 / 6.2,Kennen,0.0005,149,Top,48.21%
0.11%,2.0%,5.2 / 5.3 / 8.1,Ziggs,0.0005,150,"Mid, ADC",50.72%
NaN,NaN,,NaN,NaN,NaN,NaN,NaN
0.43%,1.98%,5.5 / 5.6 / 6.3,Cho'Gath,0.0003,151,Top,49.49%
0.77%,1.83%,5.7 / 5.9 / 4.6,Gwen,0.0019,152,Top,47.94%
0.16%,1.7%,5.2 / 5.8 / 7.3,Neeko,0.0003,153,"Mid, Support",50.46%
0.26%,1.61%,6.5 / 6.4 / 7.7,Xin Zhao,0.0007,154,Jungler,48.63%
0.32%,1.5%,6.0 / 6.0 / 7.9,Annie,0.0004,155,Mid,50.53%
0.58%,1.47%,6.9 / 6.9 / 6.3,Quinn,0.0007,156,Top,51.99%
0.53%,1.29%,6.5 / 6.1 / 6.6,Zeri,0.0063,157,ADC,42.8%
0.14%,1.01%,6.2 / 6.2 / 6.9,Corki,0.0008,158,Mid,46.04%
0.24%,1.01%,2.5 / 4.8 / 13.3,Ivern,0.0000,159,Jungler,49.11%
0.1%,0.97%,4.3 / 4.9 / 10.0,Skarner,0.0003,160,Jungler,49.9%
0.21%,0.54%,5.7 / 5.9 / 9.0,Aurelion Sol,0.0000,161,Mid,48.95%
